Date,Open,High,Low,Close,Adj Close,Volume,Return
1993-12-31,46.9375,47,46.5625,46.59375,28.230629,312900,0
1994-01-03,46.59375,46.65625,46.40625,46.46875,28.154894,960900,-0.002686329
1994-01-04,46.53125,46.65625,46.46875,46.65625,28.268501,164300,0.004026952
1994-01-05,46.71875,46.78125,46.53125,46.75,28.325314,710900,0.002007747
1994-01-06,46.8125,46.84375,46.6875,46.75,28.325314,201000,0
1994-01-07,46.84375,47.0625,46.71875,47.03125,28.495695,775500,0.005997131
1994-01-10,47.09375,47.59375,46.96875,47.59375,28.836512,593700,0.011889339
1994-01-11,47.5625,47.5625,47.34375,47.5,28.779718,295200,-0.001971459
1994-01-12,47.53125,47.53125,47.1875,47.34375,28.685057,158400,-0.003294578
1994-01-13,47.21875,47.3125,47.15625,47.21875,28.609324,244300,-0.002643646
1994-01-14,47.375,47.5,47.375,47.40625,28.722918,137200,0.003962662
1994-01-17,47.40625,47.46875,47.3125,47.40625,28.722918,17700,0
1994-01-18,47.46875,47.53125,47.375,47.46875,28.760786,166400,0.001317521
1994-01-19,47.40625,47.46875,47.25,47.34375,28.685057,200800,-0.002636537
1994-01-20,47.40625,47.5,47.375,47.46875,28.760786,281100,0.002636537
1994-01-21,47.53125,47.53125,47.34375,47.375,28.703979,85600,-0.001977108
1994-01-24,47.34375,47.5625,47.1875,47.1875,28.590382,373800,-0.003965387
1994-01-25,47.21875,47.25,47.09375,47.1875,28.590382,310400,0
1994-01-26,47.1875,47.34375,47.125,47.3125,28.666113,145100,0.002645326
1994-01-27,47.40625,47.8125,47.34375,47.75,28.931181,344500,0.009204247
1994-01-28,47.9375,48.03125,47.875,47.875,29.00691,356500,0.002614137
1994-01-31,48.0625,48.3125,48,48.21875,29.215202,313800,0.007155113
1994-02-01,48.15625,48.15625,47.90625,47.96875,29.063734,303600,-0.005198048
1994-02-02,48.125,48.28125,48.09375,48.28125,29.253065,307600,0.006493212
1994-02-03,48.1875,48.1875,47.90625,48.0625,29.120535,466100,-0.004540759
1994-02-04,48.0625,48.125,46.96875,46.96875,28.457838,1403200,-0.023019972
1994-02-07,46.84375,47.3125,46.84375,47.1875,28.590382,516400,0.004646744
1994-02-08,47.28125,47.28125,47.03125,47.21875,28.609324,188200,0.000662311
1994-02-09,47.25,47.4375,47.1875,47.40625,28.722918,144600,0.003962662
1994-02-10,47.375,47.40625,47,47,28.47678,883900,-0.008606322
1994-02-11,47.03125,47.28125,46.8125,47.15625,28.571451,519400,0.003318984
1994-02-14,47.0625,47.375,47,47.21875,28.609324,2742100,0.001324676
1994-02-15,47.3125,47.5,47.25,47.46875,28.760786,374700,0.005280183
1994-02-16,47.53125,47.53125,47.34375,47.4375,28.741858,287600,-0.000658335
1994-02-17,47.65625,47.6875,47.03125,47.15625,28.571451,342400,-0.005946525
1994-02-18,47.1875,47.21875,46.75,46.875,28.401052,313300,-0.005981816
1994-02-22,47,47.34375,47,47.34375,28.685057,154500,0.009950138
1994-02-23,47.40625,47.4375,47.0625,47.21875,28.609324,391700,-0.002643646
1994-02-24,47.0625,47.0625,46.5625,46.59375,28.230629,770800,-0.013325155
1994-02-25,46.65625,46.8125,46.5625,46.8125,28.363159,531300,0.004683561
1994-02-28,46.9375,47.0625,46.8125,46.8125,28.363159,333000,0
1994-03-01,46.8125,46.90625,46.375,46.625,28.249559,423600,-0.004013238
1994-03-02,46.03125,46.6875,45.90625,46.6875,28.287434,581500,0.001339831
1994-03-03,46.625,46.625,46.4375,46.5625,28.211687,223200,-0.002681353
1994-03-04,46.5625,46.8125,46.40625,46.6875,28.287434,595800,0.002681353
1994-03-07,46.84375,47,46.84375,46.9375,28.43891,539800,0.0053406
1994-03-08,46.96875,46.96875,46.6875,46.75,28.325314,880300,-0.004002385
1994-03-09,46.8125,47,46.59375,46.96875,28.457838,2500100,0.004667731
1994-03-10,46.9375,46.9375,46.4375,46.59375,28.230629,207400,-0.0080161
1994-03-11,46.65625,46.90625,46.40625,46.84375,28.382122,576600,0.005351917
1994-03-14,47.03125,47.03125,46.84375,46.90625,28.419983,345900,0.001333085
1994-03-15,47,47.09375,46.84375,46.875,28.401052,748600,-0.000666338
1994-03-16,46.9375,47.25,46.78125,47.25,28.628239,455500,0.007967422
1994-03-17,47.09375,47.3125,47.09375,47.25,28.628239,133000,0
1994-03-18,46.75,47.03125,46.71875,46.96875,28.621986,365500,-0.000218445
1994-03-21,46.8125,46.9375,46.71875,46.84375,28.545835,324800,-0.002664123
1994-03-22,46.84375,47.0625,46.75,46.96875,28.621986,435700,0.002664123
1994-03-23,46.9375,47.0625,46.90625,46.9375,28.602962,698500,-0.000664885
1994-03-24,46.75,46.84375,46.15625,46.375,28.260181,1200500,-0.012056497
1994-03-25,46.40625,46.53125,45.9375,45.9375,27.993578,100900,-0.009478655
1994-03-28,46,46.0625,45.59375,46,28.031656,1117200,0.001359316
1994-03-29,46,46.03125,45.09375,45.09375,27.479406,338400,-0.019897592
1994-03-30,45.125,45.25,44.46875,44.46875,27.098526,1123900,-0.013957516
1994-03-31,44.46875,44.6875,43.53125,44.59375,27.174713,788800,0.002807537
1994-04-04,43.34375,44.03125,43.34375,43.90625,26.755754,2627300,-0.015537319
1994-04-05,44.34375,44.8125,44.34375,44.8125,27.30801,1179000,0.020430513
1994-04-06,44.875,44.90625,44.5,44.8125,27.30801,516500,0
1994-04-07,44.78125,45.125,44.53125,45.03125,27.441313,666100,0.004869586
1994-04-08,44.9375,44.9375,44.46875,44.6875,27.231846,242400,-0.007662554
1994-04-11,44.8125,45.0625,44.703125,44.875,27.346104,203300,0.004186972
1994-04-12,44.921875,45,44.71875,44.8125,27.30801,1409200,-0.001394003
1994-04-13,44.796875,44.90625,44.25,44.578125,27.16519,364100,-0.005243691
1994-04-14,44.5,44.828125,44.40625,44.59375,27.174713,419900,0.000350498
1994-04-15,44.578125,44.78125,44.515625,44.59375,27.174713,387300,0
1994-04-18,44.640625,44.765625,44.15625,44.296875,26.993797,369100,-0.006679773
1994-04-19,44.25,44.53125,43.984375,44.359375,27.031874,472200,0.001409589
1994-04-20,44.40625,44.515625,44.078125,44.3125,27.003313,508000,-0.001057126
1994-04-21,44.5,44.96875,44.34375,44.90625,27.365145,200300,0.013310561
1994-04-22,45.015625,45.046875,44.734375,44.859375,27.336578,301800,-0.001044464
1994-04-25,44.84375,45.359375,44.84375,45.328125,27.622231,394600,0.010395261
1994-04-26,45.265625,45.34375,45.1875,45.28125,27.593662,399000,-0.001034811
1994-04-28,45.1875,45.25,44.8125,44.953125,27.393707,287000,-0.007272793
1994-04-29,44.875,45.15625,44.8125,45.09375,27.479406,481900,0.003123536
1994-05-02,45.09375,45.71875,44.9375,45.375,27.650784,275000,0.006217231
1994-05-03,45.390625,45.40625,45.0625,45.328125,27.622231,183400,-0.001033162
1994-05-04,45.421875,45.421875,45.078125,45.25,27.574606,401900,-0.001725643
1994-05-05,45.296875,45.375,45.1875,45.1875,27.536516,659800,-0.001382298
1994-05-06,44.96875,44.96875,44.59375,44.75,27.269938,216300,-0.009728055
1994-05-09,44.625,44.75,44.28125,44.359375,27.031874,499300,-0.008768235
1994-05-10,44.578125,44.84375,44.546875,44.703125,27.241367,583400,0.007719975
1994-05-11,44.65625,44.71875,44.171875,44.296875,26.993797,210600,-0.009129565
1994-05-12,44.578125,44.625,44.40625,44.515625,27.127113,305200,0.004926609
1994-05-13,44.640625,44.640625,44.296875,44.515625,27.127113,321300,0
1994-05-16,44.609375,44.75,44.515625,44.53125,27.136629,450400,0.000350731
1994-05-17,44.5625,45.1875,44.5,45.1875,27.536516,470200,0.01462854
1994-05-18,45.21875,45.6875,45.015625,45.515625,27.736494,824800,0.007236041
1994-05-19,45.421875,45.859375,45.421875,45.734375,27.869804,531000,0.00479479
1994-05-20,45.65625,45.6875,45.5,45.5625,27.765038,370400,-0.003766205
1994-05-23,45.515625,45.53125,45.34375,45.484375,27.717449,262700,-0.001715461
1994-05-24,45.609375,45.84375,45.609375,45.671875,27.831707,549600,0.004113768
1994-05-25,45.5,45.828125,45.34375,45.796875,27.907869,738200,0.002732782
1994-05-26,45.78125,45.9375,45.734375,45.828125,27.926916,369600,0.000682263
1994-05-27,45.75,45.875,45.671875,45.875,27.955484,162000,0.001022433
1994-05-31,45.734375,45.90625,45.65625,45.8125,27.917406,160000,-0.001363023
1994-06-01,45.703125,46.015625,45.5625,46.015625,28.041168,200500,0.004423351
1994-06-02,46.046875,46.046875,45.890625,45.96875,28.012619,55100,-0.001018629
1994-06-03,46,46.390625,45.859375,46.234375,28.174465,550400,0.005760984
1994-06-06,46.328125,46.46875,46.1875,46.21875,28.164948,99300,-0.000337845
1994-06-07,46.140625,46.21875,46.03125,46.15625,28.126873,120600,-0.001352772
